Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Kepulauan Riau,Kab. Bintan,17.95,5.13,10.26,7.69,5.10,2.60,2.56
2019,Kepulauan Riau,Kab. Karimun,70.10,5.30,17.50,5.30,28.10,20.10,29.00
2019,Kepulauan Riau,Kab. Natuna,,,,,,,
2019,Kepulauan Riau,Kab. Lingga,16.20,0.10,0.70,5.10,3.90,1.20,0.20
2019,Kepulauan Riau,Kab. Kepulauan Anambas,,,,,,,
2019,Kepulauan Riau,Kota Batam,762.79,154.82,2.27,55.69,4.13,325.82,27.00
2019,Kepulauan Riau,Kota Tanjung Pinang,13.40,4.60,12.00,6.40,7.90,6.80,1.20
2019,DKI Jakarta,Kab. Adm. Kep. Seribu,20.70,,,,,,11.60
2019,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2019,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2019,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2019,Jawa Barat,Kab. Sukabumi,162.70,149.56,152.84,478.25,146.42,305.69,98.61
2019,Jawa Barat,Kab. Ciamis,277.99,22.69,93.61,96.44,28.37,25.53,22.69
2019,Jawa Barat,Kab. Sumedang,235.00,5.00,100.00,20.00,20.00,25.00,33.00
2019,Jawa Barat,Kab. Subang,,,,,,,
2019,Jawa Barat,Kab. Bekasi,,,,,,,
2019,Jawa Barat,Kab. Pangandaran,,,,,,,
2019,Jawa Barat,Kota Bogor,262.50,0.30,23.40,1.50,4.40,2.80,212.10
2019,Jawa Barat,Kota Sukabumi,153.31,3.01,5.62,2.95,12.48,0.59,
2019,Jawa Barat,Kota Depok,156.20,7.40,104.20,29.80,409.20,22.30,14.90
2019,Jawa Barat,Kota Cimahi,,,,,,,
2019,Jawa Barat,Kota Tasikmalaya,,,,,,,
2019,Jawa Tengah,Kab. Cilacap,724.60,0.48,44.61,0.17,8.89,6.10,
2019,Jawa Tengah,Kab. Kebumen,37.00,8.00,5.00,3.00,9.00,3.00,4.00
2019,Jawa Tengah,Kab. Purworejo,93.67,0.04,0.80,0.03,0.99,,
2019,Jawa Tengah,Kab. Wonosobo,99999.99,0.60,26.00,6.80,12.30,,
2019,Jawa Tengah,Kab. Boyolali,264.50,,,,,,
2019,Jawa Tengah,Kab. Klaten,352.50,2.75,2.04,1.42,2.38,6.39,
2019,Jawa Tengah,Kab. Sukoharjo,174.54,2.52,15.51,7.94,18.74,141.23,5.37
2019,Jawa Tengah,Kab. Wonogiri,,,,,,,
2019,Jawa Tengah,Kab. Sragen,124.80,43.60,121.30,23.50,28.30,57.69,3.24
2019,Jawa Tengah,Kab. Grobogan,520.70,42.00,109.20,58.80,25.20,33.60,50.40
2019,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152.00,,11.86
2019,Jawa Tengah,Kab. Pati,,,,,,,
2019,Jawa Tengah,Kab. Kudus,,,,,,,
2019,Jawa Tengah,Kab. Jepara,50214.44,25107.22,75321.66,32639.39,37660.83,20085.78,10042.89
2019,Jawa Tengah,Kab. Semarang,26.40,15.00,22.20,,,4.80,
2019,Jawa Tengah,Kab. Kendal,0.00,0.04,0.47,0.00,0.03,0.27,0.29
2019,Jawa Tengah,Kab. Batang,,,,,,,
2019,Jawa Tengah,Kab. Pemalang,172.00,21.00,60.00,48.00,26.00,58.00,5.84
2019,Jawa Tengah,Kab. Brebes,1.00,1.00,10.00,1.00,1.00,1.00,1.00
2019,Jawa Tengah,Kota Magelang,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,Jawa Tengah,Kota Semarang,361.96,7.50,321.78,15.60,66.03,84.28,332.84
2019,D.I. Yogyakarta,Kab. Kulon Progo,0.43,0.00,0.23,0.00,,,
2019,D.I. Yogyakarta,Kab. Bantul,253.80,2.90,26.00,117.70,29.40,1.90,10.30
2019,D.I. Yogyakarta,Kab. Gunungkidul,,,,,,,
2019,D.I. Yogyakarta,Kab. Sleman,,,,,,,
2019,D.I. Yogyakarta,Kota Yogyakarta,199.70,2.35,34.75,80.08,41.79,1.18,2.11
2019,Jawa Timur,Kab. Pacitan,9.50,,15.00,1.10,1.00,1.10,0.60
2019,Jawa Timur,Kab. Trenggalek,,,,,,,
2019,Jawa Timur,Kab. Tulungagung,51.39,0.16,16.82,7.96,4.08,12.81,0.56
2019,Jawa Timur,Kab. Blitar,,,,,,,
2019,Jawa Timur,Kab. Kediri,,,,,,,
2019,Jawa Timur,Kab. Malang,886.37,19.06,118.55,25.70,29.47,19.94,8.86
2019,Jawa Timur,Kab. Lumajang,175.12,0.53,129.60,4.75,142.66,17.45,30.24
2019,Jawa Timur,Kab. Banyuwangi,19511.24,0.02,5.55,0.01,0.01,,
2019,Jawa Timur,Kab. Bondowoso,19.44,3.25,14.61,0.61,4.22,1.36,
2019,Jawa Timur,Kab. Situbondo,23.55,1.02,2.52,15.02,16.20,42.88,16.99
2019,Jawa Timur,Kab. Probolinggo,15.50,0.90,12.50,4.70,3.00,4.30,2.20
2019,Jawa Timur,Kab. Pasuruan,,,,,,,
2019,Jawa Timur,Kab. Sidoarjo,99999.99,4467.30,62542.70,31271.40,8934.70,44673.40,99999.99
2019,Jawa Timur,Kab. Nganjuk,,,,,,,
2019,Jawa Timur,Kab. Madiun,,,,,,,
2019,Jawa Timur,Kab. Ngawi,44.57,3.55,7.50,5.10,6.10,5.32,5.50
2019,Jawa Timur,Kab. Bojonegoro,,,2.47,0.01,0.45,,
2019,Jawa Timur,Kab. Tuban,150.84,8.70,84.00,76.78,66.47,68.30,3.00
2019,Jawa Timur,Kab. Gresik,,,,,,,
2019,Jawa Timur,Kab. Sampang,99999.99,10172.80,30518.30,20345.50,6103.70,,14241.90
2019,Jawa Timur,Kab. Pamekasan,,,,,,,
2019,Jawa Timur,Kab. Sumenep,360.20,0.61,5.40,1.15,39.01,19.08,24.84
2019,Jawa Timur,Kota Kediri,40635.23,16254.09,39280.73,8127.05,9481.55,14899.59,6772.54
2019,Jawa Timur,Kota Blitar,63.80,0.70,2.10,1.40,1.10,0.40,1.40
2019,Jawa Timur,Kota Malang,,,,,0.70,,
2019,Jawa Timur,Kota Probolinggo,41.50,0.60,11.50,2.90,1.30,1.50,0.60
2019,Jawa Timur,Kota Pasuruan,76.10,0.70,19.70,1.30,16.40,6.60,10.50
2019,Jawa Timur,Kota Mojokerto,77.50,4.50,7.50,3.90,2.10,4.50,
2019,Jawa Timur,Kota Madiun,85.84,5.16,9.41,4.78,4.61,3.17,2.03
2019,Jawa Timur,Kota Surabaya,,,,,,,
2019,Jawa Timur,Kota Batu,77.29,3.33,2.00,3.69,1.54,17.80,18.60
2019,Banten,Kab. Pandeglang,,,,,,,
2019,Banten,Kab. Lebak,1.32,117.79,7.89,49.46,131.97,129.13,68.12
2019,Banten,Kab. Tangerang,1900.00,6.70,220.00,40.57,25.00,325.00,
2019,Banten,Kota Tangerang,962.05,56.68,46.20,213.20,305.53,,
2019,Banten,Kota Cilegon,,,,,,,
2019,Banten,Kota Tangerang Selatan,904.90,8.60,0.10,32.40,26.70,,
2019,Bali,Kab. Jembrana,56.38,2.80,12.40,15.40,7.32,3.10,2.60
2019,Bali,Kab. Badung,,24.28,25.40,558.60,,,
2019,Bali,Kab. Gianyar,390.90,4.52,15.84,,7.03,48.00,2.03
2019,Bali,Kab. Bangli,93.21,0.27,5.94,0.63,3.67,,0.54
2019,Bali,Kab. Karangasem,,,,,,,
2019,Bali,Kab. Buleleng,527.27,1.55,6.78,1.36,1.16,0.58,0.39
2019,Bali,Kota Denpasar,,,,,,,
2019,Nusa Tenggara Barat,Kab. Lombok Timur,25.00,0.15,15.00,3.00,31.42,0.47,20.00
2019,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,
2019,Kalimantan Barat,Kab. Sambas,233.10,0.90,37.60,,,,
2019,Kalimantan Barat,Kab. Mempawah,3.83,8.08,26.73,8.38,8.52,11.11,2.57
2019,Kalimantan Barat,Kab. Sanggau,226.66,0.26,0.16,8.03,,,
2019,Kalimantan Barat,Kab. Ketapang,41.00,6.00,20.00,15.00,5.00,8.00,5.00
2019,Kalimantan Barat,Kab. Kapuas Hulu,106.67,0.10,0.05,0.50,3.10,2.30,0.71
2019,Kalimantan Barat,Kab. Bengkayang,,,,,,,
2019,Kalimantan Barat,Kota Pontianak,99276.90,444.50,26767.40,11126.46,1083.48,,208.36
2019,Kalimantan Tengah,Kab. Kotawaringin Barat,10.82,6.82,10.52,7.30,6.28,4.93,4.29
2019,Kalimantan Tengah,Kab. Kotawaringin Timur,,,,,,,
2019,Kalimantan Tengah,Kab. Kapuas,11.45,0.84,4.96,,0.99,,1.75
2019,Kalimantan Tengah,Kab. Barito Utara,32.50,5.20,24.00,2.00,1.50,2.00,1.50
2019,Kalimantan Tengah,Kab. Katingan,,,,,,,
2019,Kalimantan Tengah,Kab. Sukamara,,,,,,,
2019,Kalimantan Tengah,Kab. Pulang Pisau,38.10,0.10,2.30,6.50,3.90,0.00,
2019,Kalimantan Tengah,Kab. Barito Timur,5.60,,4.10,,1.20,0.40,0.50
2019,Kalimantan Tengah,Kota Palangkaraya,149.45,88.40,40.00,20.84,1.00,,45.39
2019,Kalimantan Selatan,Kab. Tanah Laut,30.00,1.00,3.00,1.00,1.00,1.00,3.00
2019,Kalimantan Selatan,Kab. Kotabaru,,,5.60,,,,
2019,Kalimantan Selatan,Kab. Barito Kuala,37.08,9.27,18.54,10.00,8.00,4.00,5.00
2019,Kalimantan Selatan,Kab. Tapin,59.30,1.89,5.92,2.14,2.65,2.05,1.35
